Date,Product,Category,Sales,Quantity,Region
2023-01-01,Product C,Category 3,305.64,7,East
2023-01-01,Product B,Category 1,312.34,8,North
2023-01-01,Product C,Category 3,397.89,19,North
2023-01-01,Product A,Category 2,412.97,3,South
2023-01-01,Product A,Category 1,237.17,9,South
2023-01-01,Product B,Category 2,248.48,6,South
2023-01-01,Product C,Category 1,266.84,13,West
2023-01-01,Product B,Category 3,94.94,4,North
2023-01-02,Product A,Category 2,184.3,19,West
2023-01-02,Product C,Category 1,243.13,10,East
2023-01-02,Product A,Category 3,82.7,1,South
2023-01-02,Product B,Category 1,446.96,19,West
2023-01-02,Product C,Category 1,477.64,6,South
2023-01-03,Product A,Category 1,354.01,10,South
2023-01-03,Product A,Category 2,129.24,9,North
2023-01-03,Product C,Category 1,494.63,18,West
2023-01-03,Product B,Category 2,421.72,1,West
2023-01-03,Product A,Category 3,413.72,8,East
2023-01-04,Product C,Category 3,401.61,5,West
2023-01-04,Product B,Category 1,351.92,13,North
2023-01-04,Product A,Category 3,330.99,1,West
2023-01-04,Product B,Category 3,498.26,5,North
2023-01-05,Product A,Category 2,392.49,2,South
2023-01-05,Product B,Category 1,335.45,12,South
2023-01-05,Product C,Category 2,466.54,8,West
2023-01-05,Product C,Category 3,295.18,12,East
2023-01-05,Product C,Category 2,138.02,15,West
2023-01-05,Product C,Category 2,54.54,8,South
2023-01-06,Product A,Category 3,420.42,1,East
2023-01-06,Product B,Category 3,190.94,12,East
2023-01-06,Product B,Category 2,233.0,18,North
2023-01-06,Product C,Category 2,372.91,17,East
2023-01-07,Product B,Category 1,112.6,6,East
2023-01-07,Product B,Category 3,203.18,14,East
2023-01-08,Product C,Category 2,212.77,17,South
2023-01-08,Product C,Category 2,377.04,8,North
2023-01-08,Product C,Category 3,450.34,17,North
2023-01-08,Product A,Category 2,414.13,7,North
2023-01-08,Product A,Category 2,418.19,2,South
2023-01-08,Product A,Category 2,289.36,11,South
2023-01-08,Product C,Category 3,352.24,13,North
2023-01-08,Product A,Category 1,302.9,19,North
2023-01-09,Product C,Category 1,374.29,7,East
2023-01-09,Product A,Category 2,437.89,8,North
2023-01-09,Product A,Category 3,304.08,4,East
2023-01-09,Product A,Category 1,269.77,19,West
2023-01-09,Product B,Category 3,404.21,16,East
2023-01-10,Product C,Category 3,153.61,1,North
2023-01-10,Product C,Category 3,322.59,3,East
2023-01-11,Product C,Category 2,296.09,14,West
2023-01-11,Product B,Category 1,151.86,4,North
2023-01-12,Product A,Category 1,429.68,16,West
2023-01-12,Product C,Category 3,122.73,16,North
2023-01-12,Product C,Category 2,312.47,8,West
2023-01-12,Product B,Category 3,418.91,4,South
2023-01-12,Product C,Category 3,69.87,12,East
2023-01-12,Product C,Category 1,181.01,17,South
2023-01-12,Product A,Category 1,231.24,18,East
2023-01-12,Product B,Category 1,324.33,15,East
2023-01-13,Product A,Category 3,437.78,3,South
2023-01-13,Product A,Category 3,379.69,4,South
2023-01-13,Product C,Category 2,148.67,8,North
2023-01-13,Product C,Category 1,295.42,19,East
2023-01-14,Product A,Category 3,174.03,13,East
2023-01-14,Product B,Category 2,476.17,1,West
2023-01-14,Product B,Category 2,150.47,17,East
2023-01-15,Product B,Category 3,59.92,5,West
2023-01-15,Product C,Category 2,218.06,1,South
2023-01-15,Product B,Category 3,242.88,14,East
2023-01-15,Product A,Category 1,190.56,9,South
2023-01-15,Product B,Category 2,471.81,11,South
2023-01-15,Product B,Category 3,125.31,10,North
2023-01-16,Product A,Category 3,406.63,16,North
